NO NAME TASK_COUNT RUNTIME FOLD_NO FEATURE TASK MODEL HPO_ITS MODEL_HPO SELECTOR_HPO MULTI_OBJECTIVE
0 runtime_sat#cost-cfs#randomForest#True#True#150#False 3 128 -1 cost-cfs runtime_sat randomForest 150 True True False
1 runtime_backbone#cost-cfs#randomForest#True#True#150#False 3 128 -1 cost-cfs runtime_backbone randomForest 150 True True False
2 runtime_spur#cost-cfs#randomForest#True#True#150#False 3 128 -1 cost-cfs runtime_spur randomForest 150 True True False
3 value_ssat#cost-cfs#randomForest#True#True#150#False 3 128 -1 cost-cfs value_ssat randomForest 150 True True False
4 value_backbone#cost-cfs#randomForest#True#True#150#False 3 128 -1 cost-cfs value_backbone randomForest 150 True True False
5 algo_selection#cost-cfs#randomForest#True#True#150#False 3 128 -1 cost-cfs algo_selection randomForest 150 True True False
6 runtime_sat#cost-cfs#gradboostForest#True#True#150#False 3 128 -1 cost-cfs runtime_sat gradboostForest 150 True True False
7 runtime_backbone#cost-cfs#gradboostForest#True#True#150#False 3 128 -1 cost-cfs runtime_backbone gradboostForest 150 True True False
8 runtime_spur#cost-cfs#gradboostForest#True#True#150#False 3 128 -1 cost-cfs runtime_spur gradboostForest 150 True True False
9 value_ssat#cost-cfs#gradboostForest#True#True#150#False 3 128 -1 cost-cfs value_ssat gradboostForest 150 True True False
10 value_backbone#cost-cfs#gradboostForest#True#True#150#False 3 128 -1 cost-cfs value_backbone gradboostForest 150 True True False
11 algo_selection#cost-cfs#gradboostForest#True#True#150#False 3 128 -1 cost-cfs algo_selection gradboostForest 150 True True False
12 runtime_sat#cost-cfs#SVM#True#True#150#False 3 128 -1 cost-cfs runtime_sat SVM 150 True True False
13 runtime_backbone#cost-cfs#SVM#True#True#150#False 3 128 -1 cost-cfs runtime_backbone SVM 150 True True False
14 runtime_spur#cost-cfs#SVM#True#True#150#False 3 128 -1 cost-cfs runtime_spur SVM 150 True True False
